,name,company,year,Price,kms_driven,fuel_type
571,Toyota Etios Liva,Toyota,2012,109059.99999999999,20000,Diesel
572,Renault Duster 85PS,Renault,2013,115350.753,57923,Diesel
573,Chevrolet Enjoy,Chevrolet,2014,140630.0,30201,Diesel
574,Maruti Suzuki Alto,Maruti,2017,80360.0,6200,Petrol
575,BMW 5 Series,BMW,2009,186549.99999999997,37518,Petrol
576,Toyota Etios Liva,Toyota,2014,45920.0,24652,Petrol
577,Mahindra Jeep MM,Mahindra,2004,121687.99999999999,383,Diesel
578,Chevrolet Beat LS,Chevrolet,2016,64574.99999999999,95000,Diesel
579,Chevrolet Cruze LTZ,Chevrolet,2011,100449.99999999999,35000,Diesel
580,Jeep Wrangler Unlimited,Jeep,2015,272650.0,3528,Diesel
581,Maruti Suzuki Ertiga,Maruti,2013,139195.0,52500,Diesel
582,Hyundai Verna VGT,Hyundai,2010,58834.99999999999,47900,Diesel
583,Maruti Suzuki Omni,Maruti,2012,45920.0,14000,Petrol
584,Maruti Suzuki Celerio,Maruti,2018,88970.0,37000,Petrol
585,Tata Zest Quadrajet,Tata,2017,51659.99999999999,90000,Diesel
586,Mahindra XUV500 W6,Mahindra,2013,157821.3,52800,Diesel
587,Tata Indigo CS,Tata,2016,43050.0,104000,Diesel
588,Hyundai i10 Era,Hyundai,2011,50224.99999999999,30000,Petrol
589,Tata Indigo eCS,Tata,2014,27264.999999999996,195000,Diesel
590,Tata Indigo LX,Tata,2016,66010.0,104000,Diesel
591,Tata Indigo eCS,Tata,2016,66010.0,104000,Diesel
592,Tata Indigo Marina,Tata,2004,51659.99999999999,70000,Diesel
594,Hyundai Xcent SX,Hyundai,2015,114799.99999999999,43000,Diesel
595,Hyundai Eon Magna,Hyundai,2013,53094.99999999999,23000,Petrol
596,Renault Duster 85,Renault,2015,110494.99999999999,51000,Diesel
597,Maruti Suzuki Alto,Maruti,2009,25829.999999999996,62000,Petrol
598,Tata Nano LX,Tata,2010,9184.0,48008,Petrol
600,Renault Duster 110,Renault,2013,124844.99999999999,39000,Diesel
601,Maruti Suzuki Wagon,Maruti,2010,64574.99999999999,40000,Petrol
602,Maruti Suzuki Swift,Maruti,2006,54443.899999999994,48247,Petrol
603,Maruti Suzuki Ertiga,Maruti,2012,111843.9,39000,Diesel
604,Maruti Suzuki Swift,Maruti,2014,104754.99999999999,23000,Petrol
605,Maruti Suzuki Alto,Maruti,2017,103319.99999999999,9400,Petrol
606,Hyundai i20 Magna,Hyundai,2010,60269.99999999999,50000,Petrol
607,Hyundai i10 Magna,Hyundai,2009,48789.99999999999,75000,Petrol
609,Tata Zest XE,Tata,2017,109059.99999999999,70000,Diesel
610,Mahindra Xylo E8,Mahindra,2009,84665.0,64000,Diesel
611,Toyota Corolla Altis,Toyota,2010,53094.99999999999,55000,Petrol
612,Tata Manza Aqua,Tata,2014,45920.0,200000,Diesel
615,Renault Kwid 1.0,Renault,2018,83230.0,2137,Petrol
617,Tata Venture EX,Tata,2013,28699.999999999996,30000,Diesel
618,Maruti Suzuki Swift,Maruti,2014,90405.0,44000,Petrol
620,Skoda Octavia Classic,Skoda,2006,33002.13,65000,Diesel
621,Maruti Suzuki Omni,Maruti,2012,34440.0,160000,LPG
622,Chevrolet Beat Diesel,Chevrolet,2011,35875.0,56000,Diesel
623,Tata Sumo Gold,Tata,2012,60269.99999999999,75000,Diesel
625,Hyundai Verna 1.6,Hyundai,2018,245384.99999999997,42000,Diesel
626,Tata Sumo Gold,Tata,2012,60269.99999999999,75000,Diesel
627,Mahindra Scorpio 2.6,Mahindra,2007,74620.0,56000,Diesel
628,Maruti Suzuki Zen,Maruti,2002,27264.999999999996,10544,Petrol
629,Maruti Suzuki Swift,Maruti,2011,73185.0,64000,Petrol
630,Mahindra Scorpio SLX,Mahindra,2008,86100.0,70000,Diesel
631,Hyundai Grand i10,Hyundai,2014,97579.99999999999,25000,Petrol
632,Hyundai Elite i20,Hyundai,2017,157850.0,15000,Petrol
633,Ford Ikon 1.6,Ford,2003,17220.0,50000,Petrol
636,Toyota Innova 2.5,Toyota,2011,215249.99999999997,147000,Diesel
637,Nissan Sunny XL,Nissan,2011,66010.0,52000,Petrol
638,Chevrolet Beat LT,Chevrolet,2012,37310.0,90001,Diesel
639,Maruti Suzuki Alto,Maruti,2017,77490.0,21000,Petrol
640,Maruti Suzuki Swift,Maruti,2012,80360.0,48006,Diesel
641,Maruti Suzuki Swift,Maruti,2012,80360.0,48006,Diesel
642,Maruti Suzuki Swift,Maruti,2012,80360.0,48006,Diesel
644,Toyota Innova 2.0,Toyota,2012,172200.0,80000,Diesel
646,Maruti Suzuki Swift,Maruti,2010,54529.99999999999,74000,Diesel
647,Hyundai Elite i20,Hyundai,2015,143500.0,22000,Petrol
648,Mahindra XUV500 W10,Mahindra,2016,305655.0,41000,Diesel
649,Volkswagen Polo Trendline,Volkswagen,2015,100449.99999999999,25000,Diesel
650,Toyota Etios Liva,Toyota,2012,100449.99999999999,85000,Diesel
651,Mahindra TUV300 T4,Mahindra,2016,154980.0,29500,Diesel
652,Hyundai Elite i20,Hyundai,2015,134890.0,30000,Petrol
653,Hyundai Santro Xing,Hyundai,2014,51372.99999999999,57000,Petrol
654,Maruti Suzuki Zen,Maruti,2003,13775.999999999998,60000,Petrol
655,Maruti Suzuki Ciaz,Maruti,2016,186549.99999999997,50000,Petrol
656,Hyundai Eon Era,Hyundai,2013,54529.99999999999,39700,Petrol
657,Hyundai Elantra 1.8,Hyundai,2012,143500.0,65000,Petrol
658,Maruti Suzuki Swift,Maruti,2010,77490.0,67000,Diesel
659,Maruti Suzuki Zen,Maruti,2008,35875.0,46000,Petrol
660,Hyundai Eon Era,Hyundai,2012,53955.99999999999,38000,Petrol
661,Hyundai Grand i10,Hyundai,2016,109059.99999999999,27000,Petrol
662,Hyundai Verna Fluidic,Hyundai,2011,104754.99999999999,43000,Diesel
663,Ford EcoSport Trend,Ford,2014,133455.0,47000,Petrol
664,Hyundai i20 Magna,Hyundai,2011,68880.0,42000,Petrol
665,Chevrolet Beat Diesel,Chevrolet,2016,51659.712999999996,19336,Diesel
666,Tata Indica eV2,Tata,2015,40180.0,60105,Diesel
667,Jaguar XF 2.2,Jaguar,2013,628530.0,29000,Diesel
668,Audi Q5 2.0,Audi,2014,685930.0,34000,Diesel
669,BMW 3 Series,BMW,2011,308525.0,35000,Diesel
670,Maruti Suzuki Swift,Maruti,2015,136325.0,22000,Petrol
671,BMW X1 sDrive20d,BMW,2012,294175.0,41000,Diesel
672,Maruti Suzuki S,Maruti,2016,176505.0,21000,Diesel
673,Maruti Suzuki Ertiga,Maruti,2013,136325.0,48000,Diesel
674,Maruti Suzuki Alto,Maruti,2016,77490.0,38000,Petrol
675,Honda City SV,Honda,2014,136325.0,34000,Diesel
676,Volkswagen Vento Comfortline,Volkswagen,2011,68880.0,45933,Petrol
677,Honda City 1.5,Honda,2005,34440.0,68000,Petrol
678,Audi A4 2.0,Audi,2016,545300.0,44000,Diesel
679,Mahindra KUV100,Mahindra,2017,103319.99999999999,35000,Diesel
680,Tata Zest XE,Tata,2018,129149.99999999999,102563,Diesel
681,Mahindra XUV500 W8,Mahindra,2015,258299.99999999997,28600,Diesel
682,Maruti Suzuki Swift,Maruti,2017,186549.99999999997,41800,Diesel
683,Tata Sumo Gold,Tata,2014,78925.0,116000,Diesel
684,Maruti Suzuki Swift,Maruti,2009,60269.99999999999,59000,Petrol
685,Mahindra Scorpio 2.6,Mahindra,2004,50224.99999999999,58000,Diesel
686,Maruti Suzuki Omni,Maruti,2009,24394.999999999996,45000,Petrol
687,Mitsubishi Pajero Sport,Mitsubishi,2015,427629.99999999994,42590,Diesel
688,Renault Duster,Renault,2014,229599.99999999997,7400,Diesel
689,Volkswagen Jetta Comfortline,Volkswagen,2009,129149.99999999999,54500,Diesel
690,Maruti Suzuki Ertiga,Maruti,2012,287000.0,200000,Diesel
691,Audi A4 2.0,Audi,2013,433369.99999999994,27000,Diesel
692,Volvo S80 Summum,Volvo,2015,530950.0,42000,Diesel
693,Toyota Corolla Altis,Toyota,2014,226729.99999999997,29000,Petrol
694,Mitsubishi Pajero Sport,Mitsubishi,2015,495074.99999999994,37000,Diesel
695,Chevrolet Beat LT,Chevrolet,2012,38745.0,36000,Petrol
696,BMW X1,BMW,2011,287000.0,34000,Diesel
697,Datsun Redi GO,Datsun,2018,86099.71299999999,7000,Petrol
698,Mercedes Benz C,Mercedes,2009,351575.0,76000,Diesel
699,Mahindra Scorpio SLX,Mahindra,2004,50224.99999999999,60000,Diesel
700,Volkswagen Vento Comfortline,Volkswagen,2011,57399.99999999999,95000,Diesel
701,Tata Indigo CS,Tata,2017,77490.0,50000,Diesel
702,Ford Figo Petrol,Ford,2019,150675.0,0,Petrol
703,Honda City ZX,Honda,2006,51659.99999999999,50000,Petrol
704,Maruti Suzuki Wagon,Maruti,2008,40180.0,68000,Petrol
705,Ford EcoSport Trend,Ford,2014,114799.99999999999,16000,Petrol
706,Maruti Suzuki Swift,Maruti,2016,143213.0,51000,Diesel
707,Maruti Suzuki Omni,Maruti,2009,24394.999999999996,56000,Petrol
708,Maruti Suzuki Zen,Maruti,2004,20090.0,100000,Petrol
709,Renault Duster RxL,Renault,2015,157850.0,36000,Petrol
710,Maruti Suzuki Swift,Maruti,2014,106189.99999999999,11523,Petrol
711,Maruti Suzuki Baleno,Maruti,2018,198029.99999999997,1000,Petrol
712,Honda WR V,Honda,2009,71750.0,60000,Petrol
713,Tata Indigo CS,Tata,2016,31569.999999999996,85000,Diesel
714,Renault Duster 110,Renault,2013,140630.0,38600,Diesel
715,Mahindra Scorpio LX,Mahindra,2009,91840.0,95500,Diesel
716,Maruti Suzuki Zen,Maruti,2004,19516.0,56000,Petrol
717,Maruti Suzuki Wagon,Maruti,2014,37310.0,37458,Petrol
718,Maruti Suzuki SX4,Maruti,2016,278390.0,85960,Diesel
719,Audi A3 Cabriolet,Audi,2015,889699.9999999999,12516,Petrol
720,Hyundai Eon D,Hyundai,2018,80360.0,35000,Petrol
721,Maruti Suzuki Zen,Maruti,2009,35875.0,0,Petrol
722,Mahindra Scorpio SLX,Mahindra,2008,81795.0,80000,Diesel
724,Hyundai Santro AE,Hyundai,2011,47354.99999999999,45000,Petrol
726,Maruti Suzuki Swift,Maruti,2009,71750.0,51000,Diesel
727,Mahindra Scorpio S4,Mahindra,2015,248254.99999999997,30000,Diesel
729,Mahindra Xylo D2,Mahindra,2011,111929.99999999999,48000,Diesel
730,Hyundai Santro,Hyundai,2003,17220.0,51000,Petrol
731,Chevrolet Beat LT,Chevrolet,2015,61704.99999999999,90000,Diesel
732,Maruti Suzuki Swift,Maruti,2015,136325.0,43000,Diesel
733,Mahindra XUV500 W8,Mahindra,2015,258012.99999999997,53000,Diesel
734,Toyota Fortuner 3.0,Toyota,2013,430212.99999999994,97000,Diesel
735,Maruti Suzuki Alto,Maruti,2013,68880.0,20000,Petrol
736,Hyundai Getz GLE,Hyundai,2007,28412.999999999996,55000,Petrol
737,Maruti Suzuki Swift,Maruti,2014,74620.0,120000,Diesel
738,Hyundai Creta 1.6,Hyundai,2019,344400.0,0,Petrol
739,Hyundai Santro Xing,Hyundai,2007,33005.0,46000,Petrol
740,Hyundai Santro Xing,Hyundai,2009,25255.999999999996,43200,Petrol
741,Mahindra Xylo D2,Mahindra,2011,111929.99999999999,56000,Diesel
742,Hyundai Santro Xing,Hyundai,2007,38745.0,42000,Petrol
743,Tata Indica V2,Tata,2009,25829.999999999996,30600,Diesel
744,Hyundai i10 Sportz,Hyundai,2011,63139.99999999999,38000,Petrol
745,Hyundai Grand i10,Hyundai,2017,121974.71299999999,2550,Petrol
746,Hyundai Santro Xing,Hyundai,2007,38745.0,47000,Petrol
747,Honda City 1.5,Honda,2005,27264.999999999996,41000,Petrol
748,Nissan Micra XL,Nissan,2017,123409.99999999999,62500,Diesel
749,Honda City 1.5,Honda,2005,33005.0,68000,Petrol
750,Maruti Suzuki Alto,Maruti,2015,61704.99999999999,50000,Petrol
751,Maruti Suzuki Wagon,Maruti,2004,15210.999999999998,69000,Petrol
752,Maruti Suzuki Ertiga,Maruti,2012,143500.0,48000,Diesel
753,Tata Indica eV2,Tata,2012,24394.999999999996,55000,Diesel
754,Maruti Suzuki Omni,Maruti,2013,47354.99999999999,25000,Petrol
755,Hyundai Eon Era,Hyundai,2014,57399.99999999999,28400,Petrol
756,Hyundai Eon,Hyundai,2014,57399.99999999999,28000,Petrol
757,Maruti Suzuki Swift,Maruti,2015,121974.99999999999,42000,Diesel
759,Hyundai Verna 1.6,Hyundai,2012,172200.0,29000,Diesel
760,Chevrolet Tavera LS,Chevrolet,2005,37310.0,68485,Diesel
761,Tata Tiago Revotron,Tata,2018,123409.99999999999,3500,Petrol
762,Tata Tiago Revotorq,Tata,2019,163159.5,0,Petrol
765,Maruti Suzuki Zen,Maruti,2006,20377.0,32000,Petrol
766,Mahindra KUV100 K8,Mahindra,2018,160720.0,8000,Diesel
767,Ford EcoSport Titanium,Ford,2014,169330.0,34000,Diesel
768,Hindustan Motors Ambassador,Hindustan,1995,215249.99999999997,37000,Petrol
769,Ford Fusion 1.4,Ford,2007,35875.0,85455,Diesel
770,Hyundai Santro Xing,Hyundai,2007,38745.0,46000,Petrol
771,Hyundai Santro,Hyundai,2002,17220.0,47000,Petrol
772,Fiat Linea Emotion,Fiat,2009,34440.0,64000,Petrol
773,Ford Ikon 1.3,Ford,2008,27264.999999999996,46000,Petrol
774,Maruti Suzuki Omni,Maruti,2017,68880.0,8000,Petrol
775,Tata Indica V2,Tata,2012,33005.0,64000,Diesel
776,Mahindra Scorpio S4,Mahindra,2015,228164.99999999997,63000,Diesel
777,Hyundai Santro Xing,Hyundai,2007,15784.999999999998,65000,Petrol
778,Mahindra Xylo D2,Mahindra,2009,86100.0,62000,Diesel
779,Hyundai Grand i10,Hyundai,2014,91840.0,41000,Petrol
780,Maruti Suzuki Alto,Maruti,2015,76055.0,14000,Petrol
781,Toyota Corolla,Toyota,2006,45920.0,40000,Petrol
782,Hyundai Eon Magna,Hyundai,2017,86100.0,1600,Petrol
783,Tata Sumo Grande,Tata,2010,37310.0,90000,Diesel
784,Maruti Suzuki Swift,Maruti,2011,71750.0,58000,Diesel
785,Volkswagen Polo Highline1.2L,Volkswagen,2013,109059.99999999999,27000,Petrol
786,Maruti Suzuki Alto,Maruti,2003,12053.999999999998,60000,Petrol
787,Tata Tiago Revotron,Tata,2017,114799.99999999999,31000,Petrol
788,Maruti Suzuki Swift,Maruti,2009,34440.0,90000,Diesel
789,Maruti Suzuki Swift,Maruti,2009,34440.0,90000,Diesel
790,Tata Indigo eCS,Tata,2016,37310.0,150000,Diesel
791,Chevrolet Beat LS,Chevrolet,2014,54242.99999999999,31000,Diesel
793,Mahindra Xylo E8,Mahindra,2011,104754.99999999999,43000,Diesel
794,Hyundai Eon D,Hyundai,2013,48789.99999999999,20000,Petrol
804,Tata Sumo Gold,Tata,2013,61704.99999999999,100000,Petrol
813,Tata Nano,Tata,2013,17220.0,7000,Petrol
814,Hyundai Elite i20,Hyundai,2017,172199.713,31000,Petrol
815,Hyundai i10 Magna,Hyundai,2009,114799.99999999999,33000,Petrol
816,Hyundai Creta,Hyundai,2016,258299.99999999997,60000,Diesel
817,Volkswagen Polo,Volkswagen,2013,86099.71299999999,48000,Diesel
818,Maruti Suzuki Dzire,Maruti,2014,107624.71299999999,33000,Petrol
819,Tata Bolt XM,Tata,2015,172200.0,15000,Petrol
820,Maruti Suzuki Alto,Maruti,2005,20090.0,47000,Petrol
821,Maruti Suzuki Alto,Maruti,2005,28699.999999999996,40000,Petrol
823,Maruti Suzuki Ritz,Maruti,2010,43050.0,38000,Diesel
824,Maruti Suzuki Alto,Maruti,2017,64574.99999999999,12500,Petrol
825,Maruti Suzuki Dzire,Maruti,2009,60269.99999999999,42000,Petrol
827,Hyundai i20 Asta,Hyundai,2014,121974.99999999999,31000,Petrol
828,Maruti Suzuki Swift,Maruti,2008,46493.99999999999,60000,Diesel
829,Tata Indica V2,Tata,2005,17220.0,80000,Diesel
830,Mahindra Scorpio VLX,Mahindra,2014,186549.99999999997,77000,Diesel
831,Toyota Innova 2.5,Toyota,2012,215249.99999999997,75000,Diesel
832,Mahindra Xylo E8,Mahindra,2010,107624.99999999999,40000,Diesel
833,Hyundai i20 Magna,Hyundai,2011,66010.0,47000,Petrol
834,Maruti Suzuki Omni,Maruti,2000,10331.713,60000,Petrol
835,Mahindra KUV100,Mahindra,2016,109059.99999999999,26500,Petrol
836,Mahindra KUV100 K8,Mahindra,2019,160720.0,2875,Petrol
837,Datsun Go Plus,Datsun,2016,81795.0,13900,Petrol
838,Ford Endeavor 4x4,Ford,2019,832299.9999999999,9000,Diesel
839,Tata Indica V2,Tata,2005,11479.713,80000,Diesel
840,Hyundai Santro Xing,Hyundai,2006,24394.999999999996,60000,Petrol
841,Maruti Suzuki Wagon,Maruti,2016,113364.99999999999,20000,Petrol
842,Maruti Suzuki Swift,Maruti,2008,50224.99999999999,58000,Diesel
843,Maruti Suzuki Alto,Maruti,2019,114799.99999999999,1500,Petrol
844,Toyota Innova 2.5,Toyota,2011,215249.99999999997,75000,Diesel
846,Maruti Suzuki Alto,Maruti,2016,71750.0,2450,Petrol
847,Maruti Suzuki Alto,Maruti,2019,121974.99999999999,1625,Petrol
849,Volkswagen Polo Highline1.2L,Volkswagen,2017,150675.0,45000,Petrol
850,Mahindra Logan,Mahindra,2009,37310.0,65000,Diesel
851,Maruti Suzuki 800,Maruti,2000,8610.0,33400,Petrol
852,Mahindra Scorpio,Mahindra,2011,136325.0,60123,Diesel
853,Chevrolet Sail 1.2,Chevrolet,2013,86100.0,28000,Petrol
855,Hyundai Santro AE,Hyundai,2003,17220.0,70000,Petrol
856,Maruti Suzuki Wagon,Maruti,2006,28699.999999999996,7000,Petrol
857,Hyundai Eon,Hyundai,2018,74620.0,25000,Petrol
858,Tata Manza,Tata,2015,28699.999999999996,100000,Diesel
860,Toyota Etios G,Toyota,2013,76055.0,42000,Petrol
861,Hyundai Getz Prime,Hyundai,2009,33005.0,20000,Petrol
862,Toyota Qualis,Toyota,2003,51659.99999999999,100000,Diesel
863,Hyundai Santro Xing,Hyundai,2004,12914.999999999998,137495,Petrol
864,Tata Indica eV2,Tata,2016,14493.499999999998,91200,Diesel
865,Honda City 1.5,Honda,2009,77490.0,55000,Petrol
866,Tata Zest XE,Tata,2017,83230.0,120000,Diesel
867,Mahindra Quanto C4,Mahindra,2013,93274.99999999999,63000,Diesel
868,Tata Indigo eCS,Tata,2016,45920.0,104000,Diesel
869,Maruti Suzuki Swift,Maruti,2016,100449.99999999999,146000,Diesel
870,Hyundai Elite i20,Hyundai,2011,83230.0,40000,Petrol
871,Hyundai i20 Select,Hyundai,2011,83230.0,40000,Petrol
872,Chevrolet Tavera Neo,Chevrolet,2007,133455.0,100800,Diesel
873,Maruti Suzuki Dzire,Maruti,2016,93274.99999999999,150000,Diesel
874,Hyundai Elite i20,Hyundai,2018,146370.0,2100,Petrol
875,Honda City VX,Honda,2016,246819.99999999997,95000,Petrol
876,Maruti Suzuki Dzire,Maruti,2016,129149.99999999999,2500,Diesel
877,Hyundai Getz,Hyundai,2006,35875.0,80000,Petrol
878,Mercedes Benz C,Mercedes,2006,143500.28699999998,15000,Petrol
879,Maruti Suzuki Alto,Maruti,2005,27264.999999999996,65000,Petrol
880,Maruti Suzuki Swift,Maruti,2009,71750.0,51000,Diesel
881,Skoda Fabia,Skoda,2009,31569.999999999996,45000,Petrol
883,Maruti Suzuki Ritz,Maruti,2011,77490.0,50000,Petrol
885,Tata Indica V2,Tata,2009,31569.999999999996,30000,Diesel
886,Toyota Corolla Altis,Toyota,2009,86100.0,132000,Petrol
888,Tata Zest XM,Tata,2018,74620.0,27000,Diesel
889,Mahindra Quanto C8,Mahindra,2013,111929.99999999999,40000,Diesel
